bankcardId,cardNumber,sortCode,bankAccountId,accountNumber,bank
"25726","2428828528657587","17-15-65","109411","26445881","National Westminster Bank"
"25746","4146985557345936","50-64-50","109431","96866996","The Royal Bank of Scotland"
"25749","0186749999979617","25-67-92","109434","39525677","Santander UK"
"25758","3168555114939971","44-31-40","109443","62752349","Nationwide Building Society"
"25767","6949549211628349","42-03-60","109452","81213976","National Westminster Bank"
"25770","9266843442341226","15-68-62","109455","84814749","HSBC Bank"
"25776","6848327622977488","10-66-00","109461","56667361","Barclays Bank"
"25784","6313155246875891","32-56-63","109469","44238333","National Westminster Bank"
"25787","3965418961895231","72-11-10","109472","02264487","The Royal Bank of Scotland"
"25799","5612711725834415","45-04-79","109484","51614474","Lloyds Bank and TSB"
"25802","3512172122321963","41-94-05","109487","43838565","Bank of England"
"25807","1378259576637313","23-02-54","109492","97129153","The Co-operative Bank"
"25809","4572869763922856","26-96-03","109494","43689981","The Royal Bank of Scotland"
"25810","9229689271624332","27-64-80","109495","14231817","The Royal Bank of Scotland"
"25814","5168551616187945","47-73-15","109499","76693339","Clydesdale Bank"
"25817","3254241719128491","32-04-40","109502","45224522","Santander UK"
"25818","1638225248773458","13-69-82","109503","83767554","Citibank International"
"25820","3149696989926429","36-36-97","109505","69883317","Bank of England"
"25823","8661655548972436","35-97-13","109508","66848215","Nationwide Building Society"
"25824","4324771379971297","13-22-63","109509","32585386","National Westminster Bank"
"25826","5765391873484429","15-23-29","109511","63384687","Nationwide Building Society"
"25836","9298542146673999","16-81-54","109521","08524886","Lloyds Bank and TSB"
"25841","5571412336375367","62-59-20","109526","91724942","The Royal Bank of Scotland"
"25842","8453681728896942","11-84-03","109527","98733776","National Westminster Bank"
"25850","9217331342596939","58-13-50","109535","89643233","Bank of Scotland"
"25868","8247849428919952","17-31-78","109553","87546871","Clydesdale Bank"
"25876","0359465853353234","16-41-43","109561","96635484","National Westminster Bank"
"25886","6272791494754312","24-14-29","109571","77129656","Bank of England"
"25894","8635855234945847","37-52-97","109579","26721312","Citibank International"
"25900","1691524164822113","45-16-68","109585","13649917","National Westminster Bank"
"25903","6714613585211533","34-62-90","109588","1523838922138146","National Westminster Bank"
"25913","2382382868433873","46-63-94","109598","01492628","Barclays Bank"
"25915","3627787242676768","28-25-58","109600","47535876","Bank of Scotland"
"25925","4426431914751246","01-58-21","109610","28445567","Nationwide Building Society"
"25929","3981947119228649","32-00-99","109614","94556951","Clydesdale Bank"
"25932","5925182482659717","39-95-05","109617","11873577","Bank of Scotland"
"25937","3792971746599718","51-47-06","109622","23433763","Lloyds Bank and TSB"
"25945","1599552571794321","28-81-27","109630","61335714","National Westminster Bank"
"25947","6595467934275356","30-85-84","109632","26181471","Citibank International"
"25961","8689379724829525","65-23-26","109646","55763915","The Co-operative Bank"
"25963","8971141599668712","59-05-51","109648","66316219","Bank of Scotland"
"25964","3326178734996368","47-51-19","109649","09172825","National Westminster Bank"
"25971","9611748751686626","54-71-39","109656","08637156","Clydesdale Bank"
"25977","1451832631379697","30-74-97","109662","84339333","Clydesdale Bank"
"25978","2151287851634762","16-24-06","109663","49867622","Bank of England"
"26009","1759196826322896","01-67-15","109694","08272792","Citibank International"
"26011","2965425549465527","39-98-49","109696","58281631","Citibank International"
"26014","6137495628954826","01-49-43","109699","26248487","HSBC Bank"
"26016","5379367491489727","41-75-14","109701","21134215","Bank of Scotland"
"26017","2948573959594333","55-05-13","109702","96924787","Lloyds Bank and TSB"
"26033","7641372257473621","11-14-26","109718","63415333","HSBC Bank"
"26040","8151656952741135","14-29-44","109725","35473214","HSBC Bank"
"26042","9935514549467251","23-52-06","109727","55755481","Citibank International"
"26060","8225879512778952","23-90-84","109745","36212739","Citibank International"
"26082","2377177359241423","46-20-97","109767","99382848","National Westminster Bank"
"26084","3843317613948575","60-58-51","109769","72161424","Bank of Scotland"
"26090","5783698292459266","09-02-87","109775","36158546","Bank of England"
"26107","2271566781447663","10-64-22","109792","95318363","Barclays Bank"
"26114","2916415328466616","55-73-02","109799","98243842","Lloyds Bank and TSB"
"26122","5752336976938275","43-08-32","109807","46836516","Citibank International"
"26132","8945348479219727","18-69-71","109817","22732987","HSBC Bank"
"26153","0298517827824383","66-44-87","109838","03852943","Santander UK"
"26155","5546898599861974","77-98-27","109840","07997379","The Co-operative Bank"
"26156","1548612965548961","55-83-86","109841","63225997","The Royal Bank of Scotland"
"26159","4987665159529816","33-89-99","109844","85976521","National Westminster Bank"
"26169","0597864241125256","38-97-52","109854","25835135","Clydesdale Bank"
"26177","7686668169756189","45-31-59","109862","12978618","Santander UK"
"26179","8777597787381387","50-16-08","109864","46932529","The Royal Bank of Scotland"
"26185","0731297111814523","47-77-92","109870","01647392","National Westminster Bank"
"26187","1529854374286818","66-60-89","109872","28772971","The Co-operative Bank"
"26201","0331569812717558","49-73-13","109886","64762674","Clydesdale Bank"
"26207","4778629373787356","56-96-34","109892","98511353","Nationwide Building Society"
"26208","0357766663286355","55-17-57","109893","47647587","Lloyds Bank and TSB"
"26212","6634663689383612","20-32-74","109897","61732461","The Co-operative Bank"
"26245","4414132746283833","23-29-21","109930","94726472","National Westminster Bank"
"26251","5637639494799667","62-67-69","109936","98688482","HSBC Bank"
"26255","2752762829192918","47-74-65","109940","66483246","The Co-operative Bank"
"26256","2183559496398783","34-06-63","109941","09992965","National Westminster Bank"
"26262","6411826386812748","42-63-36","109947","76523974","The Royal Bank of Scotland"
"26272","4821345511352833","77-30-91","109957","49515979","Bank of Scotland"
"26273","8746956273725724","53-23-72","109958","55568718","Santander UK"
"26280","3335383854386898","15-94-72","109965","49221517","National Westminster Bank"
"26304","8914759315316326","52-53-05","109989","42847428","Citibank International"
"26324","2476588286964528","16-98-91","110009","45481412","Bank of Scotland"
"26327","3693827726339548","37-87-60","110012","37559143","Santander UK"
"26328","8452638798828479","18-97-50","110013","77972256","Nationwide Building Society"
"26334","9288755879166893","17-98-28","110019","28877943","HSBC Bank"
"26338","9136545247815291","58-43-12","110023","91947634","Lloyds Bank and TSB"
"26341","1734537773633886","26-69-88","110026","69383774","Bank of Scotland"
"26346","0116139966383198","35-03-24","110031","93575916","Barclays Bank"
"26349","2854731893443398","42-79-53","110034","34151818","Citibank International"
"26357","4215492693119438","55-64-56","110042","75447587","Citibank International"
"26364","0618496493852287","25-67-24","110049","59661179","Bank of Scotland"
"26367","1915476714367991","25-24-41","110052","01448517","Nationwide Building Society"
"26369","5459934228173446","61-67-46","110054","88611724","Bank of England"
"26389","8518914223874994","44-03-63","110074","95624542","Lloyds Bank and TSB"
"26396","9842983614863275","27-22-24","110081","46558543","The Co-operative Bank"
"26405","3153439855646327","62-60-40","110090","63479795","Bank of Scotland"
"26410","7737845717735788","39-46-45","110095","33494657","The Co-operative Bank"
"26425","4523785428377182","63-09-56","110110","38859532","Bank of Scotland"
"26433","7176337395751796","34-35-42","110118","69685457","The Royal Bank of Scotland"
"26443","5689853246593384","18-60-15","110128","76922859","Clydesdale Bank"
"26445","1143396112611871","46-76-62","110130","75475793","The Royal Bank of Scotland"
"26469","8735876554189834","36-31-82","110154","37146994","HSBC Bank"
"26472","5241211923537635","64-77-04","110157","15623742","The Co-operative Bank"
"26474","0513152983136818","58-38-14","110159","57626625","Lloyds Bank and TSB"
"26482","7381547377816542","38-59-63","110167","01881136","Clydesdale Bank"
"26490","2448693254517998","54-86-70","110175","18455615","HSBC Bank"
"26498","5683574125666597","63-41-48","110183","08173691","Bank of Scotland"
"26503","9966127565393188","23-94-85","110188","93893653","The Royal Bank of Scotland"
"26512","8561652543852717","66-28-29","110197","31412117","Lloyds Bank and TSB"
"26515","5488474486216753","38-90-99","110200","57436643","Barclays Bank"
"26518","3833165264456832","50-65-76","110203","57814678","Clydesdale Bank"
"26525","0274677559931247","44-37-26","110210","72844239","Lloyds Bank and TSB"
"26526","6583338253564294","38-00-01","110211","89589667","Citibank International"
"26530","1288414323873267","47-57-61","110215","93969522","Bank of England"
"26533","4547651986265586","01-96-04","110218","99118255","Clydesdale Bank"
"26538","4245222474463234","11-56-28","110223","61387448","The Royal Bank of Scotland"
"26544","3164294161225159","49-64-88","110229","37774472","Clydesdale Bank"
"26555","8295668879296231","57-21-80","110240","82354532","Bank of England"
"26557","1539946261956274","17-22-99","110242","74629859","HSBC Bank"
"26568","2958553626536871","50-90-42","110253","17822762","Clydesdale Bank"
"26569","7222372255477973","33-97-82","110254","51357773","Citibank International"
"26577","5513375823979456","43-48-82","110262","07181431","The Co-operative Bank"
"26579","9936791825122313","36-82-22","110264","16219286","Santander UK"
"26581","8318251298697166","65-68-61","110266","58945676","Santander UK"
"26587","5793618712327361","30-70-20","110272","64151373","Santander UK"
"26591","0537547318617814","50-23-76","110276","05244487","Bank of Scotland"
"26598","8437767599724216","65-86-94","110283","56568276","Bank of Scotland"
"26600","7552537926762183","62-33-38","110285","83938684","Barclays Bank"
"26603","5591636443847988","38-50-33","110288","07562145","National Westminster Bank"
"26605","4864737959715794","27-06-93","110290","81178427","HSBC Bank"
"26607","4235683491359529","15-19-43","110292","33138611","Clydesdale Bank"
"26608","0899371783741951","63-72-56","110293","33226474","The Royal Bank of Scotland"
"26611","4814849212779938","40-90-11","110296","77522715","The Co-operative Bank"
"26616","9525311986849424","36-04-57","110301","44791216","Bank of Scotland"
"26625","0831112751935525","64-21-43","110310","98575675","Nationwide Building Society"
"26629","3842243754727244","25-75-65","110314","75818924","Santander UK"
"26661","3386464418524729","45-75-36","110346","87496956","Santander UK"
"26667","5191743963297342","14-49-97","110352","62481377","Lloyds Bank and TSB"
"26671","1465736359957576","22-02-86","110356","46261634","National Westminster Bank"
"26678","9172551278682527","10-02-39","110363","39383561","HSBC Bank"
"26680","3725292823641858","59-99-64","110365","98179567","Bank of Scotland"
"26685","4341953321454656","38-42-65","110370","73424334","Barclays Bank"
"26695","2476496468275164","35-37-86","110380","66115184","HSBC Bank"
"26696","7225886436991226","51-47-98","110381","11744441","Nationwide Building Society"
"26702","0872591122348799","29-92-29","110387","34958853","National Westminster Bank"
"26704","6195587543733521","01-01-63","110389","93233456","Bank of England"
"26710","7233771154517866","26-09-10","110395","33417673","Citibank International"
"26712","7884418829146349","01-56-44","110397","98868886","Clydesdale Bank"
"26713","6214754474717723","21-92-49","110398","13257263","Bank of Scotland"
"26721","4782683453691855","46-51-93","110406","55783977","The Royal Bank of Scotland"
"26732","1347345889967251","15-66-00","110417","12839248","Nationwide Building Society"
"26747","4765142968185454","66-19-53","110432","71346399","Lloyds Bank and TSB"
"59759","7749534124893212","11-31-51","143444","95952585","HSBC Bank"
"59760","4598411275552371","16-19-26","143445","76688672","HSBC Bank"
"59765","4193292263578296","08-34-99","143450","92824269","The Royal Bank of Scotland"
"59771","5451126955447639","31-64-60","143456","66843464","National Westminster Bank"
"59777","9217469891761447","40-91-67","143462","59462445","Santander UK"
"59784","5444495487741986","77-31-77","143469","12484161","The Co-operative Bank"
"59785","9377613938439419","23-84-44","143470","76736672","Nationwide Building Society"
"59787","3574737129571362","58-69-10","143472","44643774","Lloyds Bank and TSB"
"59788","7867791612499624","36-08-14","143473","96924547","Santander UK"
"59804","7479656362956648","56-00-51","143489","47462298","HSBC Bank"
"59806","9885469232613783","01-74-49","143491","82812531","Nationwide Building Society"
"59820","2652916997969544","25-01-50","143505","62675745","National Westminster Bank"
"59835","7988899368593156","60-93-54","143520","75559423","Bank of Scotland"
"59842","2122937225566776","49-17-34","143527","01414577","Barclays Bank"
"59844","0391655147783645","53-91-47","143529","52417694","HSBC Bank"
"59846","0755189774447965","12-61-35","143531","11735159","Clydesdale Bank"
"59854","4187182297882857","01-17-90","143539","82419655","Citibank International"
"59858","1586222673144165","44-20-36","143543","77549154","The Royal Bank of Scotland"
"59865","3122678546299995","22-88-67","143550","04324443","National Westminster Bank"
"59874","9869482549565941","27-83-11","143559","09836211","Clydesdale Bank"
"59881","7131574938891737","13-35-42","143566","61337596","Bank of England"
"59890","4241588267396627","54-84-58","143575","09236364","The Royal Bank of Scotland"
"59895","6122839432147149","44-03-12","143580","58163225","The Co-operative Bank"
"59901","3363351952637316","31-70-22","143586","38623749","The Co-operative Bank"
"59910","8427134223972586","28-83-17","143595","24224187","Citibank International"
"59921","2733953243681329","08-11-35","143606","16938656","Clydesdale Bank"
"59923","1658672688327346","18-73-84","143608","59259938","Bank of Scotland"
"59951","2669419161284549","34-03-96","143636","56756949","Nationwide Building Society"
"59969","6768836959344265","58-26-25","143654","79255688","The Co-operative Bank"
"59985","3587898245282579","20-56-19","143670","14758515","Santander UK"
"59986","3868788381591478","32-84-74","143671","75972319","National Westminster Bank"
"59995","4172132793334617","48-90-37","143680","32551682","Bank of Scotland"
"60001","9165318156526448","41-98-51","143686","41182762","Clydesdale Bank"
"60004","7623355377746523","13-43-61","143689","31397753","Clydesdale Bank"
"60010","5185146518794141","55-20-18","143695","66144358","Santander UK"
"60013","5477962441126775","38-77-12","143698","29267437","Barclays Bank"
"60019","4517562545973998","33-18-55","143704","58893257","HSBC Bank"
"60037","6766444771621828","27-23-18","143722","03142964","Santander UK"
"60049","6674825782468669","65-20-87","143734","71613371","HSBC Bank"
"60062","2264762786622685","47-32-82","143747","38568216","Clydesdale Bank"
"60066","2483367486286787","36-79-43","143751","04152662","National Westminster Bank"
"60081","9318289148791381","72-92-61","143766","07591793","HSBC Bank"
"60098","5549991949719746","54-95-57","143783","52331281","The Co-operative Bank"
"60121","3285121679243417","36-93-43","143806","76639135","The Royal Bank of Scotland"
"60135","0679541441732215","31-22-01","143820","24292588","Santander UK"
"60139","2398164828724112","31-22-14","143824","71182974","Clydesdale Bank"
"60148","1474191677734268","60-39-14","143833","44965137","Bank of England"
"60152","5188971335659932","77-29-63","143837","45926479","Nationwide Building Society"
"60154","0442955568462646","53-81-18","143839","78382414","Citibank International"
"60157","1764638427828726","45-53-68","143842","75471368","National Westminster Bank"
"60159","6986423429949871","57-46-37","143844","55485521","Santander UK"
"60165","1846763937156452","59-63-38","143850","54841245","Barclays Bank"
"60184","7948573875794534","51-71-96","143869","82676314","Lloyds Bank and TSB"
"60204","0331781637445618","63-67-08","143889","12554464","Nationwide Building Society"
"60218","1786485493411913","13-04-85","143903","67178869","Santander UK"
"60219","6793223886749775","13-88-61","143904","84181453","Bank of Scotland"
"60227","0865584591492398","41-59-37","143912","01614529","Citibank International"
"60243","1118675989953851","20-91-44","143928","59832285","Nationwide Building Society"
"60244","4278646373698436","17-59-89","143929","13436771","Bank of England"
"60247","0238365668472722","58-77-94","143932","99948678","Lloyds Bank and TSB"
"60260","7892714413152474","41-65-46","143945","23431716","Lloyds Bank and TSB"
"60277","4519678562834625","24-51-99","143962","15327892","Citibank International"
"60286","4977396735331977","37-09-15","143971","91151889","HSBC Bank"
"60288","7457545794995313","47-73-78","143973","11355138","Nationwide Building Society"
"60310","5372413171893227","11-77-72","143995","99163738","The Royal Bank of Scotland"
"60311","8651126963615319","45-47-01","143996","67759332","The Co-operative Bank"
"60313","7986484237258679","47-34-26","143998","04598532","The Co-operative Bank"
"60316","2345293317394632","52-50-74","144001","43754752","Nationwide Building Society"
"60336","7323592466449148","16-47-02","144021","98721563","Bank of England"
"60338","4255522918575386","66-07-20","144023","49229367","Bank of England"
"60342","8199416651617888","64-39-18","144027","75658972","The Royal Bank of Scotland"
"60347","9868298552564926","77-44-95","144032","56897595","Bank of England"
"60357","3255528162919814","32-23-06","144042","02258447","Clydesdale Bank"
"60358","5172215647454394","14-92-60","144043","64984923","Lloyds Bank and TSB"
"60378","9367189954153222","42-54-41","144063","63849568","Lloyds Bank and TSB"
"60390","9239114428113363","10-36-35","144075","09678321","Santander UK"
"60396","4458668424798667","50-71-93","144081","64726294","Nationwide Building Society"
"60410","4253985142775971","55-71-72","144095","62632631","Nationwide Building Society"
"60412","7546436483413272","35-27-59","144097","31169453","Bank of Scotland"
"60422","6131691932258475","60-39-82","144107","19734281","Lloyds Bank and TSB"
"60428","1714237861841966","42-44-13","144113","52851512","Nationwide Building Society"
"60435","0695822169585121","58-85-50","144120","72262569","Bank of Scotland"
"60436","0485552364647888","59-42-72","144121","13119281","The Co-operative Bank"
"60450","3342249943928556","22-94-04","144135","43563541","The Co-operative Bank"
"60457","1145418834643911","44-63-95","144142","93882828","Bank of Scotland"
"60459","1151641215866686","47-86-29","144144","48259388","Bank of Scotland"
"60463","8965678551952943","09-13-66","144148","08232222","Bank of Scotland"
"60465","1777185654772836","46-25-29","144150","69275279","The Co-operative Bank"
"60469","7963983817446692","51-39-92","144154","77953738","The Co-operative Bank"
"60478","2144948326371677","05-17-25","144163","92762415","Bank of England"
"60500","8251951289253281","36-48-33","144185","25242691","HSBC Bank"
"60505","9611165929539138","48-70-92","144190","27462593","National Westminster Bank"
"60515","5147951224489277","46-07-52","144200","92995932","Bank of England"
"60518","3361445433628423","08-36-49","144203","62253241","National Westminster Bank"
"60521","7595928491936916","41-53-53","144206","09735897","The Co-operative Bank"
"60528","0357926331117752","15-22-09","144213","44589747","Barclays Bank"
"60530","6759274518294816","12-08-34","144215","91779599","Barclays Bank"
"60536","5238392766592935","47-47-74","144221","59184377","National Westminster Bank"
"60554","8919917216976799","57-49-01","144239","0977758732394976","Clydesdale Bank"
"60556","6283575223434225","33-67-36","144241","23812929","National Westminster Bank"
"60557","3299431717552654","63-17-53","144242","83354877","Nationwide Building Society"
"60562","7214855531332411","42-81-10","144247","87523697","The Royal Bank of Scotland"
"60563","3744651589569956","33-38-52","144248","43546156","The Royal Bank of Scotland"
"60569","4139444666975766","32-73-19","144254","32326463","Santander UK"
"60579","1832149831739778","23-27-93","144264","74946661","Citibank International"
"60583","5636188277464843","61-79-36","144268","31248184","The Co-operative Bank"
"60595","3692214461979457","12-43-27","144280","49474719","Barclays Bank"
"60608","9983864855853845","34-26-44","144293","98983331","National Westminster Bank"
"60616","9281725272349684","52-33-40","144301","18978593","The Royal Bank of Scotland"
"60623","5978961831263671","33-58-10","144308","95847456","Bank of England"
"60632","1161132425531352","58-47-35","144317","66999753","Barclays Bank"
"60633","0913834773861131","09-05-23","144318","99943772","Lloyds Bank and TSB"
"60650","6762117831613642","20-23-22","144335","59269794","Santander UK"
"60653","7991397639858234","61-49-97","144338","05538128","Barclays Bank"
"60654","9728776545736454","01-92-28","144339","46563262","The Co-operative Bank"
"60657","7519956413857746","55-63-24","144342","03871338","Citibank International"
"60659","7519152338983588","05-55-77","144344","33862162","Barclays Bank"
"60675","2125238848973774","28-79-40","144360","58992668","Nationwide Building Society"
"60682","0331195923196382","38-49-91","144367","83712352","Nationwide Building Society"
"60683","1755566146789649","77-88-84","144368","89755167","HSBC Bank"
"60687","7585343767238912","52-86-06","144372","77944896","The Co-operative Bank"
"60695","1545678696199547","56-72-06","144380","39575526","Clydesdale Bank"
"60703","8856813393541333","24-91-97","144388","73655683","Nationwide Building Society"
"60725","1665249288936822","40-32-71","144410","54376683","Barclays Bank"
"60732","6897435486967723","45-76-88","144417","08413982","The Co-operative Bank"
"60746","5226358333618915","77-63-16","144431","57458456","The Royal Bank of Scotland"
"60756","5473743552947924","47-49-07","144441","59845962","The Royal Bank of Scotland"
"60771","6198191244786291","45-55-70","144456","15798492","Bank of Scotland"
"60786","4614634777479976","57-23-42","144471","76967726","Clydesdale Bank"
"60788","6139212177138319","29-82-82","144473","88133459","HSBC Bank"
"60790","1838276174667597","77-17-53","144475","72942682","Citibank International"
"60798","7156683956188157","30-81-44","144483","63956866","National Westminster Bank"
"60802","8999466589676332","32-31-77","144487","59195732","The Royal Bank of Scotland"
"60811","0356511278162731","11-44-18","144496","81425499","The Royal Bank of Scotland"
"60815","5374821597681696","28-41-08","144500","48984772","The Co-operative Bank"
"60825","9953615556381553","56-30-37","144510","41448169","HSBC Bank"
"60833","7751669527634363","20-54-34","144518","05991518","The Royal Bank of Scotland"
"60836","1882444554945772","17-96-98","144521","02785687","Citibank International"
"60841","5277512894964796","18-59-07","144526","34796856","Santander UK"
"60846","1276228523692827","45-69-21","144531","46958191","Lloyds Bank and TSB"
"60849","5955282994496136","05-44-77","144534","41888147","Citibank International"
"60861","7299727462999724","30-40-11","144546","14993125","Bank of England"
"60864","7298827573527815","31-39-69","144549","19724538","HSBC Bank"
"60876","9932128235272893","56-46-41","144561","78611452","Bank of Scotland"
"60884","5343417392741525","15-25-99","144569","84287687","Lloyds Bank and TSB"
"60889","0128548427329327","46-61-81","144574","67621173","Santander UK"
"60892","5776151995865669","35-34-56","144577","74971733","National Westminster Bank"
"60900","9927391894728886","22-03-41","144585","63489936","Citibank International"
"60905","0549597937269582","36-82-60","144590","27277831","The Royal Bank of Scotland"
"60911","2124883345564893","58-28-48","144596","62695759","The Royal Bank of Scotland"
"60919","2493611237683344","50-49-56","144604","41794345","Lloyds Bank and TSB"
"60924","2137872371156777","41-51-37","144609","69513139","Barclays Bank"
"60936","9215325779237159","20-63-32","144621","77614849","National Westminster Bank"
"60940","2518122249995461","38-01-43","144625","24156627","Clydesdale Bank"
"60961","8116599352594184","22-31-24","144646","07953944","Lloyds Bank and TSB"
"60962","2292441381381514","35-90-16","144647","01866396","Clydesdale Bank"
"60964","7436813649448985","55-86-32","144649","67992836","Barclays Bank"
"60967","2239855495878793","36-87-37","144652","42887759","Nationwide Building Society"
"60970","0452695368993514","22-76-93","144655","85794993","Citibank International"
"60972","4962833432163143","32-17-12","144657","06836758","The Co-operative Bank"
"61009","1768593436119114","20-03-42","144694","46192885","Lloyds Bank and TSB"
"61012","1629338628118177","59-97-94","144697","69614183","HSBC Bank"
"61020","5366337626711768","64-44-91","144705","14776657","Clydesdale Bank"
"61026","2138287937382691","58-37-07","144711","91986927","Lloyds Bank and TSB"
"61027","2777814991157614","62-56-02","144712","79727457","Citibank International"
"61034","5578332353265426","33-51-31","144719","65388881","The Royal Bank of Scotland"
"61038","6673851618612646","26-98-75","144723","78893825","Nationwide Building Society"
"61046","5424965649994529","01-14-66","144731","24188826","Bank of England"
"61051","7366485749566747","52-84-19","144736","32825449","HSBC Bank"
"61053","2859451386986141","22-49-71","144738","13331619","Bank of Scotland"
"61054","5686157446483925","49-90-72","144739","03653418","Citibank International"
"61059","7273952488175863","28-53-28","144744","77997516","Bank of Scotland"
"61061","6243335613628377","30-85-97","144746","71155378","Barclays Bank"
"61087","2668193917752765","22-53-44","144772","08222525","Bank of Scotland"
"61092","0172796241324198","48-04-81","144777","23598133","Clydesdale Bank"
"61096","4381412496729638","50-53-01","144781","65728547","HSBC Bank"
"61098","4924156629354768","14-04-28","144783","96743122","The Royal Bank of Scotland"
"61102","2888362889245578","17-61-38","144787","23733647","Lloyds Bank and TSB"
"61108","1436962225771387","50-43-63","144793","59231237","HSBC Bank"
"61128","7744164445797745","13-67-01","144813","24633774","Santander UK"
"61144","6532236232225364","50-95-57","144829","04339312","Santander UK"
"61148","6878447836146161","36-87-83","144833","77694248","Bank of England"
"61149","0458419948561368","36-53-07","144834","67277724","Barclays Bank"
"61153","1925594546651295","51-16-16","144838","45839977","The Co-operative Bank"
"61168","0923338721729365","24-54-80","144853","98786364","The Royal Bank of Scotland"
"61169","3517143819971663","51-31-98","144854","31679364","Bank of England"
"61188","2861755339734697","11-20-77","144873","31631796","National Westminster Bank"
"61190","4595569595898632","18-34-35","144875","51931165","Bank of England"
